SOC,Occupation,Mean,Entry Level,Experienced,10%,25%,50% (Median),75%,90%
11-9171,Funeral Home Managers,87700,61100,101100,58300,68200,83200,104400,140700
11-9179,"Personal Service Managers, All Other",58900,43700,66500,42900,45700,50600,63000,100100
11-9199,"Managers, All Other",114400,61400,141000,54800,75800,105200,136900,175900
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",103100,50500,129500,39600,67900,94800,132900,174100
13-1021,"Buyers and Purchasing Agents, Farm Products",74600,41700,91000,37800,50000,65900,92000,123200
13-1022,"Wholesale and Retail Buyers, Except Farm Products",74400,41600,90800,37700,49900,65700,91700,123000
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",74600,41700,91000,37800,50100,66000,92000,123300
13-1031,"Claims Adjusters, Examiners, and Investigators",75300,54800,85600,54400,58500,74300,92700,94000
13-1032,"Insurance Appraisers, Auto Damage",72900,59700,79600,59200,62200,71500,76200,94600
13-1041,Compliance Officers,60300,38300,71300,39000,39700,52300,67700,102200
13-1051,Cost Estimators,74200,51400,85600,48800,57500,68900,85400,105500
13-1071,Human Resources Specialists,65900,43000,77400,41100,48100,60700,78700,95200
13-1074,Farm Labor Contractors,47300,29600,56200,29400,32100,45000,53300,78100
13-1075,Labor Relations Specialists,71200,30600,91500,19400,41800,69800,98000,123300
13-1081,Logisticians,76600,50600,89600,46000,59900,73900,87000,104800
13-1082,Project Management Specialists,98300,54700,120000,49500,66500,91000,123500,156200
13-1111,Management Analysts,100200,61500,119500,57200,71500,90900,118500,153800
13-1121,"Meeting, Convention, and Event Planners",47400,33000,54600,30400,38300,46900,58700,64000
13-1131,Fundraisers,65800,45600,75900,45600,47900,59400,83200,92500
13-1141,"Compensation, Benefits, and Job Analysis Specialists",62100,44000,71200,40400,50200,55600,68600,84700
13-1151,Training and Development Specialists,66500,45200,77200,41800,52600,65500,72800,97900
13-1161,Market Research Analysts and Marketing Specialists,69700,38000,85600,36000,44100,62600,87600,118400
